AÑO / MES / DÍA ;HORA ;TEMPERATURA (°C) ;PRECIPITACIÓN (mm/hora) ;HUMEDAD (%) ;DIRECCION DEL VIENTO (°) ;VELOCIDAD DEL VIENTO (m/s) 
01/03/2023;0:00;20.6;0.0;75.53;131;0.3
01/03/2023;1:00;20.3;0.0;76.4;37.14;0.0
01/03/2023;2:00;21.0;0.0;72.58;187.2;0.5
01/03/2023;3:00;20.2;0.0;79.65;23.17;0.0
01/03/2023;4:00;20.4;0.0;76.6;164.1;0.3
01/03/2023;5:00;20.2;0.0;77.86;51.91;0.1
01/03/2023;6:00;20.4;0.0;75.82;8.43;0.1
01/03/2023;7:00;21.2;0.0;75.94;184.7;0.7
01/03/2023;8:00;22.3;0.0;71.59;237.1;0.6
01/03/2023;9:00;24.8;0.0;59.43;203.7;0.9
01/03/2023;10:00;24.8;0.0;62.4;196.9;2.0
01/03/2023;11:00;25.9;0.0;53.74;199.1;1.5
01/03/2023;12:00;27.5;0.0;48.11;194.3;2.1
01/03/2023;13:00;27.4;0.0;47.47;195.7;2.3
01/03/2023;14:00;27.4;0.2;46.01;195.3;2.4
01/03/2023;15:00;27.1;0.2;47.92;184.6;1.7
01/03/2023;16:00;25.6;0.2;55.02;207.4;1.9
01/03/2023;17:00;23.9;0.4;59.28;189.5;1.5
01/03/2023;18:00;22.4;0.4;65.16;196.4;1.2
01/03/2023;19:00;21.5;0.2;69.25;182.7;0.9
01/03/2023;20:00;21.9;0.1;66.31;182.4;0.5
01/03/2023;21:00;21.1;0.1;71.67;203.6;0.8
01/03/2023;22:00;21.4;0.0;70.83;179.7;0.6
01/03/2023;23:00;20.6;0.1;74.57;172;0.5
02/03/2023;0:00;20.8;0.0;73.52;147.8;0.3
02/03/2023;1:00;20.5;0.0;73.83;143.3;0.4
02/03/2023;2:00;19.0;0.1;84.6;208.2;1.2
02/03/2023;3:00;18.8;0.1;86;169.7;0.5
02/03/2023;4:00;18.7;0.0;86.1;93.1;0.1
02/03/2023;5:00;19.1;0.0;83.5;92.3;0.1
02/03/2023;6:00;19.4;0.0;83.4;185.6;0.4
02/03/2023;7:00;19.9;0.0;79.99;176.3;0.5
02/03/2023;8:00;21.1;0.0;74.43;188.7;0.6
02/03/2023;9:00;23.5;0.0;62.77;166.8;1.1
02/03/2023;10:00;25.6;0.0;56.86;186.4;1.7
02/03/2023;11:00;26.4;0.0;53.2;183.7;2.0
02/03/2023;12:00;26.0;0.0;55.34;189.8;1.8
02/03/2023;13:00;26.8;0.0;50.19;209.1;2.1
02/03/2023;14:00;27.1;0.0;48;201.9;1.6
02/03/2023;15:00;26.9;0.3;49.16;201.1;2.3
02/03/2023;16:00;26.2;0.0;52.14;198.9;1.7
02/03/2023;17:00;25.0;0.3;56.91;177.8;1.3
02/03/2023;18:00;24.2;0.2;57.29;187.9;1.4
02/03/2023;19:00;21.4;0.5;71;188.5;1.3
02/03/2023;20:00;21.3;0.2;71.81;189.4;1.1
02/03/2023;21:00;20.5;0.1;75.18;208.9;0.7
02/03/2023;22:00;20.8;0.0;73.69;179.1;0.6
02/03/2023;23:00;19.7;0.1;81;187.2;0.8
03/03/2023;0:00;19.8;0.1;79.36;179.7;0.4
03/03/2023;1:00;19.8;0.0;79.18;204.1;0.5
03/03/2023;2:00;19.3;0.1;81.1;74.56;0.2
03/03/2023;3:00;19.9;0.0;76.7;156.7;0.2
03/03/2023;4:00;19.8;0.0;79.36;147.6;0.2
03/03/2023;5:00;20.0;0.0;78.99;187.7;0.8
03/03/2023;6:00;18.9;0.0;85.4;180.6;0.4
03/03/2023;7:00;19.2;0.0;80.8;56.54;0.1
03/03/2023;8:00;21.9;0.0;68.34;202.7;0.3
03/03/2023;9:00;24.2;0.0;56.83;190.2;1.0
03/03/2023;10:00;25.8;0.0;53.15;169.3;1.1
03/03/2023;11:00;25.1;0.3;54.49;183.8;1.7
03/03/2023;12:00;24.6;0.3;56.53;174.4;1.4
03/03/2023;13:00;24.2;0.2;58.24;191.1;1.4
03/03/2023;14:00;24.1;0.0;57.24;162;1.5
03/03/2023;15:00;24.8;0.0;58.11;179.9;1.3
03/03/2023;16:00;23.8;0.0;61.01;185;1.5
03/03/2023;17:00;23.2;0.0;59.86;193.4;1.4
03/03/2023;18:00;23.1;0.0;60.35;208.3;1.1
03/03/2023;19:00;20.7;0.0;76.16;206.2;1.3
03/03/2023;20:00;20.2;0.0;76.63;175.2;0.5
03/03/2023;21:00;20.5;0.0;75.76;198.8;0.8
03/03/2023;22:00;19.7;0.0;79.66;174.5;0.7
03/03/2023;23:00;19.8;0.0;77.96;252.6;0.4
04/03/2023;0:00;19.8;0.0;78.17;164.6;0.2
04/03/2023;1:00;20.2;0.0;77.95;195.5;0.4
04/03/2023;2:00;19.7;0.0;79.77;126.2;0.3
